规范,条文,条文内容
GB50016-2014(2018年版),5.1.5,一、二级耐火等级建筑的屋面板应采用不燃材料。屋面防水层宜采用不燃、难燃材料，当采用可燃防水材料且铺设在可燃、难燃保温材料上时，防水材料或可燃、难燃保温材料应采用不燃材料作防护层。
GB50016-2014(2018年版),5.1.6,二级耐火等级建筑内采用难燃性墙体的房间隔墙，其耐火极限不应低于0.75h；当房间的建筑面积不大于100m2时，房间隔墙可采用耐火极限不低于0.50h的难燃性墙体或耐火极限不低于0.30h的不燃性墙体。二级耐火等级多层住宅建筑内采用预应力钢筋混凝土的楼板，其耐火极限不应低于0.75h。
GB50016-2014(2018年版),5.1.8,二级耐火等级建筑内采用不燃材料的吊顶，其耐火极限不限。三级耐火等级的医疗建筑、中小学校的教学建筑、老年人照料设施及托儿所、幼儿园的儿童用房和儿童游乐厅等儿童活动场所的吊顶，应采用不燃材料；当采用难燃材料时，其耐火极限不应低于0.25h。?二级和三级耐火等级建筑内门厅、走道的吊顶应采用不燃材料。
GB50016-2014(2018年版),5.2.3,民用建筑与单独建造的变电站的防火间距应符合本规范第3.4.1条有关室外变、配电站的规定，但与单独建造的终端变电站的防火间距，可根据变电站的耐火等级按本规范第5.2.2条有关民用建筑的规定确定。民用建筑与10kV及以下的预装式变电站的防火间距不应小于3m。民用建筑与燃油、燃气或燃煤锅炉房的防火间距应符合本规范第3.4.1条有关丁类厂房的规定，但与单台蒸汽锅炉的蒸发量不大于4t／h或单台热水锅炉的额定热功率不大于2.8MW的燃煤锅炉房的防火间距，可根据锅炉房的耐火等级按本规范第5.2.2条有关民用建筑的规定确定。
GB50016-2014(2018年版),5.2.4,除高层民用建筑外，数座一、二级耐火等级的住宅建筑或办公建筑，当建筑物的占地面积总和不大于2500m2时，可成组布置，但组内建筑物之间的间距不宜小于4m。组与组或组与相邻建筑物的防火间距不应小于本规范第5.2.2条的规定。
GB50016-2014(2018年版),5.2.6,建筑高度大于100m的民用建筑与相邻建筑的防火间距。当符合本规范第3.4.5条、第3.5.3条、第4.2.1条和第5.2.2条允许减小的条件时，仍不应减小。
GB50016-2014(2018年版),5.3.1A,独立建造的一、二级耐火等级老年人照料设施的建筑高度不宜大于32m，不应大于54m；独立建造的三级耐火等级老年人照料设施，不应超过2层。
GB50016-2014(2018年版),5.3.2-1,建筑内设置自动扶梯、敞开楼梯等上、下层相连通的开口时，其防火分区的建筑面积应按上、下层相连通的建筑面积叠加计算；当叠加计算后的建筑面积大于本规范第5.3.1条的规定时，应划分防火分区。建筑内设置中庭时，其防火分区的建筑面积应按上、下层相连通的建筑面积叠加计算；当叠加计算后的建筑面积大于本规范第5.3.1条的规定时，应符合下列规定：与周围连通空间应进行防火分隔：采用防火隔墙时，其耐火极限不应低于1.00h；采用防火玻璃墙时，其耐火隔热性和耐火完整性不应低于1.00h。采用耐火完整性不低于1.00h的非隔热性防火玻璃墙时，应设置自动喷水灭火系统进行保护；采用防火卷帘时，其耐火极限不应低于3.00h，并应符合本规范第6.5.3条的规定；与中庭相连通的门、窗，应采用火灾时能自行关闭的甲级防火门、窗；
GB50016-2014(2018年版),5.3.2-2,建筑内设置自动扶梯、敞开楼梯等上、下层相连通的开口时，其防火分区的建筑面积应按上、下层相连通的建筑面积叠加计算；当叠加计算后的建筑面积大于本规范第5.3.1条的规定时，应划分防火分区。建筑内设置中庭时，其防火分区的建筑面积应按上、下层相连通的建筑面积叠加计算；当叠加计算后的建筑面积大于本规范第5.3.1条的规定时，应符合下列规定：与周围连通空间应进行防火分隔：采用防火隔墙时，其耐火极限不应低于1.00h；采用防火玻璃墙时，其耐火隔热性和耐火完整性不应低于1.00h。采用耐火完整性不低于1.00h的非隔热性防火玻璃墙时，应设置自动喷水灭火系统进行保护；采用防火卷帘时，其耐火极限不应低于3.00h，并应符合本规范第6.5.3条的规定；与中庭相连通的门、窗，应采用火灾时能自行关闭的甲级防火门、窗；
GB50016-2014(2018年版),5.3.2-3,建筑内设置自动扶梯、敞开楼梯等上、下层相连通的开口时，其防火分区的建筑面积应按上、下层相连通的建筑面积叠加计算；当叠加计算后的建筑面积大于本规范第5.3.1条的规定时，应划分防火分区。建筑内设置中庭时，其防火分区的建筑面积应按上、下层相连通的建筑面积叠加计算；当叠加计算后的建筑面积大于本规范第5.3.1条的规定时，应符合下列规定：与周围连通空间应进行防火分隔：采用防火隔墙时，其耐火极限不应低于1.00h；采用防火玻璃墙时，其耐火隔热性和耐火完整性不应低于1.00h。采用耐火完整性不低于1.00h的非隔热性防火玻璃墙时，应设置自动喷水灭火系统进行保护；采用防火卷帘时，其耐火极限不应低于3.00h，并应符合本规范第6.5.3条的规定；与中庭相连通的门、窗，应采用火灾时能自行关闭的甲级防火门、窗；
GB50016-2014(2018年版),5.3.2-4,建筑内设置自动扶梯、敞开楼梯等上、下层相连通的开口时，其防火分区的建筑面积应按上、下层相连通的建筑面积叠加计算；当叠加计算后的建筑面积大于本规范第5.3.1条的规定时，应划分防火分区。建筑内设置中庭时，其防火分区的建筑面积应按上、下层相连通的建筑面积叠加计算；当叠加计算后的建筑面积大于本规范第5.3.1条的规定时，应符合下列规定：与周围连通空间应进行防火分隔：采用防火隔墙时，其耐火极限不应低于1.00h；采用防火玻璃墙时，其耐火隔热性和耐火完整性不应低于1.00h。采用耐火完整性不低于1.00h的非隔热性防火玻璃墙时，应设置自动喷水灭火系统进行保护；采用防火卷帘时，其耐火极限不应低于3.00h，并应符合本规范第6.5.3条的规定；与中庭相连通的门、窗，应采用火灾时能自行关闭的甲级防火门、窗；
GB50016-2014(2018年版),5.3.4-1,一、二级耐火等级建筑内的商店营业厅、展览厅，当设置自动灭火系统和火灾自动报警系统并采用不燃或难燃装修材料时，其每个防火分区的最大允许建筑面积应符合下列规定：设置在高层建筑内时，不应大于4000m2；
GB50016-2014(2018年版),5.3.4-2,一、二级耐火等级建筑内的商店营业厅、展览厅，当设置自动灭火系统和火灾自动报警系统并采用不燃或难燃装修材料时，其每个防火分区的最大允许建筑面积应符合下列规定：设置在单层建筑或仅设置在多层建筑的首层内时，不应大于10000m2；
GB50016-2014(2018年版),5.3.4-3,一、二级耐火等级建筑内的商店营业厅、展览厅，当设置自动灭火系统和火灾自动报警系统并采用不燃或难燃装修材料时，其每个防火分区的最大允许建筑面积应符合下列规定：设置在地下或半地下时，不应大于2000m2。
GB50016-2014(2018年版),5.3.5-1,总建筑面积大于20000m2的地下或半地下商店，应采用无门、窗、洞口的防火墙、耐火极限不低于2.00h的楼板分隔为多个建筑面积不大于20000m2的区域。相邻区域确需局部连通时，应采用下沉式广场等室外开敞空间、防火隔间、避难走道、防烟楼梯间等方式进行连通，并应符合下列规定：下沉式广场等室外开敞空间应能防止相邻区域的火灾蔓延和便于安全疏散，并应符合本规范第6.4.12条的规定；
GB50016-2014(2018年版),5.3.5-2,总建筑面积大于20000m2的地下或半地下商店，应采用无门、窗、洞口的防火墙、耐火极限不低于2.00h的楼板分隔为多个建筑面积不大于20000m2的区域。相邻区域确需局部连通时，应采用下沉式广场等室外开敞空间、防火隔间、避难走道、防烟楼梯间等方式进行连通，并应符合下列规定：防火隔间的墙应为耐火极限不低于3.00h的防火隔墙，并应符合本规范第6.4.13条的规定；
GB50016-2014(2018年版),5.3.5-3,总建筑面积大于20000m2的地下或半地下商店，应采用无门、窗、洞口的防火墙、耐火极限不低于2.00h的楼板分隔为多个建筑面积不大于20000m2的区域。相邻区域确需局部连通时，应采用下沉式广场等室外开敞空间、防火隔间、避难走道、防烟楼梯间等方式进行连通，并应符合下列规定：避难走道应符合本规范第6.4.14条的规定；
GB50016-2014(2018年版),5.3.5-4,总建筑面积大于20000m2的地下或半地下商店，应采用无门、窗、洞口的防火墙、耐火极限不低于2.00h的楼板分隔为多个建筑面积不大于20000m2的区域。相邻区域确需局部连通时，应采用下沉式广场等室外开敞空间、防火隔间、避难走道、防烟楼梯间等方式进行连通，并应符合下列规定：防烟楼梯间的门应采用甲级防火门。
GB50016-2014(2018年版),5.3.6-1,餐饮、商店等商业设施通过有顶棚的步行街连接，且步行街两侧的建筑需利用步行街进行安全疏散时，应符合下列规定：步行街两侧建筑的耐火等级不应低于二级。
GB50016-2014(2018年版),5.3.6-2,餐饮、商店等商业设施通过有顶棚的步行街连接，且步行街两侧的建筑需利用步行街进行安全疏散时，应符合下列规定：步行街两侧建筑相对面的最近距离均不应小于本规范对相应高度建筑的防火间距要求且不应小于9m。步行街的端部在各层均不宜封闭，确需封闭时，应在外墙上设置可开启的门窗，且可开启门窗的面积不应小于该部位外墙面积的一半。步行街的长度不宜大于300m。
GB50016-2014(2018年版),5.3.6-3,餐饮、商店等商业设施通过有顶棚的步行街连接，且步行街两侧的建筑需利用步行街进行安全疏散时，应符合下列规定：步行街两侧建筑的商铺之间应设置耐火极限不低于2.00h的防火隔墙，每间商铺的建筑面积不宜大于300m2。
GB50016-2014(2018年版),5.3.6-4,餐饮、商店等商业设施通过有顶棚的步行街连接，且步行街两侧的建筑需利用步行街进行安全疏散时，应符合下列规定：步行街两侧建筑的商铺，其面向步行街一侧的围护构件的耐火极限不应低于1.00h，并宜采用实体墙，其门、窗应采用乙级防火门、窗；当采用防火玻璃墙(包括门、窗)时，其耐火隔热性和耐火完整性不应低于1.00h；当采用耐火完整性不低于1.00h的非隔热性防火玻璃墙(包括门、窗)时，应设置闭式自动喷水灭火系统进行保护。相邻商铺之间面向步行街一侧应设置宽度不小于1.0m、耐火极限不低于1.00h的实体墙。当步行街两侧的建筑为多个楼层时，每层面向步行街一侧的商铺均应设置防止火灾竖向蔓延的措施，并应符合本规范第6.2.5条的规定；设置回廊或挑檐时，其出挑宽度不应小于1.2m；步行街两侧的商铺在上部各层需设置回廊和连接天桥时，应保证步行街上部各层楼板的开口面积不应小于步行街地面面积的37％，且开口宜均匀布置。
GB50016-2014(2018年版),5.3.6-5,餐饮、商店等商业设施通过有顶棚的步行街连接，且步行街两侧的建筑需利用步行街进行安全疏散时，应符合下列规定：步行街两侧建筑内的疏散楼梯应靠外墙设置并宜直通室外，确有困难时，可在首层直接通至步行街；首层商铺的疏散门可直接通至步行街，步行街内任一点到达最近室外安全地点的步行距离不应大于60m。步行街两侧建筑二层及以上各层商铺的疏散门至该层最近疏散楼梯口或其他安全出口的直线距离不应大于37.5m。
GB50016-2014(2018年版),5.3.6-6,餐饮、商店等商业设施通过有顶棚的步行街连接，且步行街两侧的建筑需利用步行街进行安全疏散时，应符合下列规定：步行街的顶棚材料应采用不燃或难燃材料，其承重结构的耐火极限不应低于1.00h。步行街内不应布置可燃物。
GB50016-2014(2018年版),5.3.6-7,餐饮、商店等商业设施通过有顶棚的步行街连接，且步行街两侧的建筑需利用步行街进行安全疏散时，应符合下列规定：步行街的顶棚下檐距地面的高度不应小于6.0m，顶棚应设置自然排烟设施并宜采用常开式的排烟口，且自然排烟口的有效面积不应小于步行街地面面积的25％。常闭式自然排烟设施应能在火灾时手动和自动开启。
GB50016-2014(2018年版),5.3.6-8,餐饮、商店等商业设施通过有顶棚的步行街连接，且步行街两侧的建筑需利用步行街进行安全疏散时，应符合下列规定：步行街两侧建筑的商铺外应每隔30m设置DN65的消火栓，并应配备消防软管卷盘或消防水龙，商铺内应设置自动喷水灭火系统和火灾自动报警系统；每层回廊均应设置自动喷水灭火系统。步行街内宜设置自动跟踪定位射流灭火系统。
GB50016-2014(2018年版),5.3.6-9,餐饮、商店等商业设施通过有顶棚的步行街连接，且步行街两侧的建筑需利用步行街进行安全疏散时，应符合下列规定：步行街两侧建筑的商铺内外均应设置疏散照明、灯光疏散指示标志和消防应急广播系统。
GB50016-2014(2018年版),5.4.3,商店建筑、展览建筑采用三级耐火等级建筑时，不应超过2层；采用四级耐火等级建筑时，应为单层。营业厅、展览厅设置在三级耐火等级的建筑内时，应布置在首层或二层；设置在四级耐火等级的建筑内时，应布置在首层。营业厅、展览厅不应设置在地下三层及以下楼层。地下或半地下营业厅、展览厅不应经营、储存和展示甲、乙类火灾危险性物品。
GB50016-2014(2018年版),5.4.4-1,托儿所、幼儿园的儿童用房和儿童游乐厅等儿童活动场所宜设置在独立的建筑内，且不应设置在地下或半地下；当采用一、二级耐火等级的建筑时，不应超过3层；采用三级耐火等级的建筑时，不应超过2层；采用四级耐火等级的建筑时，应为单层；确需设置在其他民用建筑内时，应符合下列规定：设置在一、二级耐火等级的建筑内时，应布置在首层、二层或三层；
GB50016-2014(2018年版),5.4.4-2,托儿所、幼儿园的儿童用房和儿童游乐厅等儿童活动场所宜设置在独立的建筑内，且不应设置在地下或半地下；当采用一、二级耐火等级的建筑时，不应超过3层；采用三级耐火等级的建筑时，不应超过2层；采用四级耐火等级的建筑时，应为单层；确需设置在其他民用建筑内时，应符合下列规定：设置在三级耐火等级的建筑内时，应布置在首层或二层；
GB50016-2014(2018年版),5.4.4-3,托儿所、幼儿园的儿童用房和儿童游乐厅等儿童活动场所宜设置在独立的建筑内，且不应设置在地下或半地下；当采用一、二级耐火等级的建筑时，不应超过3层；采用三级耐火等级的建筑时，不应超过2层；采用四级耐火等级的建筑时，应为单层；确需设置在其他民用建筑内时，应符合下列规定：设置在四级耐火等级的建筑内时，应布置在首层；
GB50016-2014(2018年版),5.4.4-4,托儿所、幼儿园的儿童用房和儿童游乐厅等儿童活动场所宜设置在独立的建筑内，且不应设置在地下或半地下；当采用一、二级耐火等级的建筑时，不应超过3层；采用三级耐火等级的建筑时，不应超过2层；采用四级耐火等级的建筑时，应为单层；确需设置在其他民用建筑内时，应符合下列规定：设置在高层建筑内时，应设置独立的安全出口和疏散楼梯；
GB50016-2014(2018年版),5.4.4-5,托儿所、幼儿园的儿童用房和儿童游乐厅等儿童活动场所宜设置在独立的建筑内，且不应设置在地下或半地下；当采用一、二级耐火等级的建筑时，不应超过3层；采用三级耐火等级的建筑时，不应超过2层；采用四级耐火等级的建筑时，应为单层；确需设置在其他民用建筑内时，应符合下列规定：设置在单、多层建筑内时，宜设置独立的安全出口和疏散楼梯。
GB50016-2014(2018年版),5.4.4B,当老年人照料设施中的老年人公共活动用房、康复与医疗用房设置在地下、半地下时，应设置在地下一层，每间用房的建筑面积不应大于200m2且使用人数不应大于30人。老年人照料设施中的老年人公共活动用房、康复与医疗用房设置在地上四层及以上时，每间用房的建筑面积不应大于200m2且使用人数不应大于30人。
GB50016-2014(2018年版),5.4.5,医院和疗养院的住院部分不应设置在地下或半地下。医院和疗养院的住院部分采用三级耐火等级建筑时，不应超过2层；采用四级耐火等级建筑时，应为单层；设置在三级耐火等级的建筑内时，应布置在首层或二层；设置在四级耐火等级的建筑内时，应布置在首层。医院和疗养院的病房楼内相邻护理单元之间应采用耐火极限不低于2.00h的防火隔墙分隔，隔墙上的门应采用乙级防火门，设置在走道上的防火门应采用常开防火门。
GB50016-2014(2018年版),5.4.6,教学建筑、食堂、菜市场采用三级耐火等级建筑时，不应超过2层；采用四级耐火等级建筑时，应为单层；设置在三级耐火等级的建筑内时，应布置在首层或二层；设置在四级耐火等级的建筑内时，应布置在首层。
GB50016-2014(2018年版),5.4.7-1,剧场、电影院、礼堂宜设置在独立的建筑内；采用三级耐火等级建筑时，不应超过2层；确需设置在其他民用建筑内时，至少应设置1个独立的安全出口和疏散楼梯，并应符合下列规定：应采用耐火极限不低于2.00h的防火隔墙和甲级防火门与其他区域分隔。
GB50016-2014(2018年版),5.4.7-2,剧场、电影院、礼堂宜设置在独立的建筑内；采用三级耐火等级建筑时，不应超过2层；确需设置在其他民用建筑内时，至少应设置1个独立的安全出口和疏散楼梯，并应符合下列规定：设置在一、二级耐火等级的建筑内时，观众厅宜布置在首层、二层或三层；确需布置在四层及以上楼层时，一个厅、室的疏散门不应少于2个，且每个观众厅的建筑面积不宜大于400m2。
GB50016-2014(2018年版),5.4.7-3,剧场、电影院、礼堂宜设置在独立的建筑内；采用三级耐火等级建筑时，不应超过2层；确需设置在其他民用建筑内时，至少应设置1个独立的安全出口和疏散楼梯，并应符合下列规定：设置在三级耐火等级的建筑内时，不应布置在三层及以上楼层。
GB50016-2014(2018年版),5.4.7-4,剧场、电影院、礼堂宜设置在独立的建筑内；采用三级耐火等级建筑时，不应超过2层；确需设置在其他民用建筑内时，至少应设置1个独立的安全出口和疏散楼梯，并应符合下列规定：设置在地下或半地下时，宜设置在地下一层，不应设置在地下三层及以下楼层。
GB50016-2014(2018年版),5.4.7-5,剧场、电影院、礼堂宜设置在独立的建筑内；采用三级耐火等级建筑时，不应超过2层；确需设置在其他民用建筑内时，至少应设置1个独立的安全出口和疏散楼梯，并应符合下列规定：设置在高层建筑内时，应设置火灾自动报警系统及自动喷水灭火系统等自动灭火系统。
GB50016-2014(2018年版),5.4.8-1,建筑内的会议厅、多功能厅等人员密集的场所，宜布置在首层、二层或三层。设置在三级耐火等级的建筑内时，不应布置在三层及以上楼层。确需布置在一、二级耐火等级建筑的其他楼层时，应符合下列规定：一个厅、室的疏散门不应少于2个，且建筑面积不宜大于400m2；
GB50016-2014(2018年版),5.4.8-2,建筑内的会议厅、多功能厅等人员密集的场所，宜布置在首层、二层或三层。设置在三级耐火等级的建筑内时，不应布置在三层及以上楼层。确需布置在一、二级耐火等级建筑的其他楼层时，应符合下列规定：设置在地下或半地下时，宜设置在地下一层，不应设置在地下三层及以下楼层；
GB50016-2014(2018年版),5.4.8-3,建筑内的会议厅、多功能厅等人员密集的场所，宜布置在首层、二层或三层。设置在三级耐火等级的建筑内时，不应布置在三层及以上楼层。确需布置在一、二级耐火等级建筑的其他楼层时，应符合下列规定：设置在高层建筑内时，应设置火灾自动报警系统和自动喷水灭火系统等自动灭火系统。
GB50016-2014(2018年版),5.4.9-1,歌舞厅、录像厅、夜总会、卡拉OK厅(含具有卡拉OK功能的餐厅)、游艺厅(含电子游艺厅)、桑拿浴室(不包括洗浴部分)、网吧等歌舞娱乐放映游艺场所(不含剧场、电影院)的布置应符合下列规定：不应布置在地下二层及以下楼层；
GB50016-2014(2018年版),5.4.9-2,歌舞厅、录像厅、夜总会、卡拉OK厅(含具有卡拉OK功能的餐厅)、游艺厅(含电子游艺厅)、桑拿浴室(不包括洗浴部分)、网吧等歌舞娱乐放映游艺场所(不含剧场、电影院)的布置应符合下列规定：宜布置在一、二级耐火等级建筑内的首层、二层或三层的靠外墙部位；
GB50016-2014(2018年版),5.4.9-3,歌舞厅、录像厅、夜总会、卡拉OK厅(含具有卡拉OK功能的餐厅)、游艺厅(含电子游艺厅)、桑拿浴室(不包括洗浴部分)、网吧等歌舞娱乐放映游艺场所(不含剧场、电影院)的布置应符合下列规定：不宜布置在袋形走道的两侧或尽端；
GB50016-2014(2018年版),5.4.9-4,歌舞厅、录像厅、夜总会、卡拉OK厅(含具有卡拉OK功能的餐厅)、游艺厅(含电子游艺厅)、桑拿浴室(不包括洗浴部分)、网吧等歌舞娱乐放映游艺场所(不含剧场、电影院)的布置应符合下列规定：确需布置在地下一层时，地下一层的地面与室外出入口地坪的高差不应大于10m；
GB50016-2014(2018年版),5.4.9-5,歌舞厅、录像厅、夜总会、卡拉OK厅(含具有卡拉OK功能的餐厅)、游艺厅(含电子游艺厅)、桑拿浴室(不包括洗浴部分)、网吧等歌舞娱乐放映游艺场所(不含剧场、电影院)的布置应符合下列规定：确需布置在地下或四层及以上楼层时，一个厅、室的建筑面积不应大于200m2；
GB50016-2014(2018年版),5.4.9-6,歌舞厅、录像厅、夜总会、卡拉OK厅(含具有卡拉OK功能的餐厅)、游艺厅(含电子游艺厅)、桑拿浴室(不包括洗浴部分)、网吧等歌舞娱乐放映游艺场所(不含剧场、电影院)的布置应符合下列规定：厅、室之间及与建筑的其他部位之间，应采用耐火极限不低于2.00h的防火隔墙和1.00h的不燃性楼板分隔，设置在厅、室墙上的门和该场所与建筑内其他部位相通的门均应采用乙级防火门。
GB50016-2014(2018年版),5.4.10-1,除商业服务网点外，住宅建筑与其他使用功能的建筑合建时，应符合下列规定：住宅部分与非住宅部分之间，应采用耐火极限不低于2.00h且无门、窗、洞口的防火隔墙和1.50h的不燃性楼板完全分隔；当为高层建筑时，应采用无门、窗、洞口的防火墙和耐火极限不低于2.00h的不燃性楼板完全分隔。建筑外墙上、下层开口之间的防火措施应符合本规范第6.2.5条的规定。
GB50016-2014(2018年版),5.4.10-2,除商业服务网点外，住宅建筑与其他使用功能的建筑合建时，应符合下列规定：住宅部分与非住宅部分的安全出口和疏散楼梯应分别独立设置；为住宅部分服务的地上车库应设置独立的疏散楼梯或安全出口，地下车库的疏散楼梯应按本规范第6.4.4条的规定进行分隔。
GB50016-2014(2018年版),5.4.10-3,除商业服务网点外，住宅建筑与其他使用功能的建筑合建时，应符合下列规定：住宅部分和非住宅部分的安全疏散、防火分区和室内消防设施配置，可根据各自的建筑高度分别按照本规范有关住宅建筑和公共建筑的规定执行；该建筑的其他防火设计应根据建筑的总高度和建筑规模按本规范有关公共建筑的规定执行。
GB50016-2014(2018年版),5.4.11?,设置商业服务网点的住宅建筑，其居住部分与商业服务网点之间应采用耐火极限不低于2.00h且无门、窗、洞口的防火隔墙和1.50h的不燃性楼板完全分隔，住宅部分和商业服务网点部分的安全出口和疏散楼梯应分别独立设置。商业服务网点中每个分隔单元之间应采用耐火极限不低于2.00h且无门、窗、洞口的防火隔墙相互分隔，当每个分隔单元任一层建筑面积大于200m2时，该层应设置2个安全出口或疏散门。每个分隔单元内的任一点至最近直通室外的出口的直线距离不应大于本规范表
GB50016-2014(2018年版),5.4.12-1,燃油或燃气锅炉、油浸变压器、充有可燃油的高压电容器和多油开关等，宜设置在建筑外的专用房间内；确需贴邻民用建筑布置时，应采用防火墙与所贴邻的建筑分隔，且不应贴邻人员密集场所，该专用房间的耐火等级不应低于二级；确需布置在民用建筑内时，不应布置在人员密集场所的上一层、下一层或贴邻，并应符合下列规定：燃油或燃气锅炉房、变压器室应设置在首层或地下一层的靠外墙部位，但常(负)压燃油或燃气锅炉可设置在地下二层或屋顶上。设置在屋顶上的常(负)压燃气锅炉，距离通向屋面的安全出口不应小于6m。采用相对密度(与空气密度的比值)不小于0.75的可燃气体为燃料的锅炉，不得设置在地下或半地下。
GB50016-2014(2018年版),5.4.12-2,燃油或燃气锅炉、油浸变压器、充有可燃油的高压电容器和多油开关等，宜设置在建筑外的专用房间内；确需贴邻民用建筑布置时，应采用防火墙与所贴邻的建筑分隔，且不应贴邻人员密集场所，该专用房间的耐火等级不应低于二级；确需布置在民用建筑内时，不应布置在人员密集场所的上一层、下一层或贴邻，并应符合下列规定：锅炉房、变压器室的疏散门均应直通室外或安全出口。
GB50016-2014(2018年版),5.4.12-3,燃油或燃气锅炉、油浸变压器、充有可燃油的高压电容器和多油开关等，宜设置在建筑外的专用房间内；确需贴邻民用建筑布置时，应采用防火墙与所贴邻的建筑分隔，且不应贴邻人员密集场所，该专用房间的耐火等级不应低于二级；确需布置在民用建筑内时，不应布置在人员密集场所的上一层、下一层或贴邻，并应符合下列规定：锅炉房、变压器室等与其他部位之间应采用耐火极限不低于2.00h的防火隔墙和1.50h的不燃性楼板分隔。在隔墙和楼板上不应开设洞口，确需在隔墙上设置门、窗时，应采用甲级防火门、窗。
GB50016-2014(2018年版),5.4.12-4,燃油或燃气锅炉、油浸变压器、充有可燃油的高压电容器和多油开关等，宜设置在建筑外的专用房间内；确需贴邻民用建筑布置时，应采用防火墙与所贴邻的建筑分隔，且不应贴邻人员密集场所，该专用房间的耐火等级不应低于二级；确需布置在民用建筑内时，不应布置在人员密集场所的上一层、下一层或贴邻，并应符合下列规定：锅炉房内设置储油间时，其总储存量不应大于1m3，且储油间应采用耐火极限不低于3.00h的防火隔墙与锅炉间分隔；确需在防火隔墙上设置门时，应采用甲级防火门。
GB50016-2014(2018年版),5.4.12-5,燃油或燃气锅炉、油浸变压器、充有可燃油的高压电容器和多油开关等，宜设置在建筑外的专用房间内；确需贴邻民用建筑布置时，应采用防火墙与所贴邻的建筑分隔，且不应贴邻人员密集场所，该专用房间的耐火等级不应低于二级；确需布置在民用建筑内时，不应布置在人员密集场所的上一层、下一层或贴邻，并应符合下列规定：变压器室之间、变压器室与配电室之间，应设置耐火极限不低于2.00h的防火隔墙。
GB50016-2014(2018年版),5.4.12-6,燃油或燃气锅炉、油浸变压器、充有可燃油的高压电容器和多油开关等，宜设置在建筑外的专用房间内；确需贴邻民用建筑布置时，应采用防火墙与所贴邻的建筑分隔，且不应贴邻人员密集场所，该专用房间的耐火等级不应低于二级；确需布置在民用建筑内时，不应布置在人员密集场所的上一层、下一层或贴邻，并应符合下列规定：油浸变压器、多油开关室、高压电容器室，应设置防止油品流散的设施。油浸变压器下面应设置能储存变压器全部油量的事故储油设施。
GB50016-2014(2018年版),5.4.12-7,燃油或燃气锅炉、油浸变压器、充有可燃油的高压电容器和多油开关等，宜设置在建筑外的专用房间内；确需贴邻民用建筑布置时，应采用防火墙与所贴邻的建筑分隔，且不应贴邻人员密集场所，该专用房间的耐火等级不应低于二级；确需布置在民用建筑内时，不应布置在人员密集场所的上一层、下一层或贴邻，并应符合下列规定：应设置火灾报警装置。
GB50016-2014(2018年版),5.4.12-8,燃油或燃气锅炉、油浸变压器、充有可燃油的高压电容器和多油开关等，宜设置在建筑外的专用房间内；确需贴邻民用建筑布置时，应采用防火墙与所贴邻的建筑分隔，且不应贴邻人员密集场所，该专用房间的耐火等级不应低于二级；确需布置在民用建筑内时，不应布置在人员密集场所的上一层、下一层或贴邻，并应符合下列规定：应设置与锅炉、变压器、电容器和多油开关等的容量及建筑规模相适应的灭火设施，当建筑内其他部位设置自动喷水灭火系统时，应设置自动喷水灭火系统。
GB50016-2014(2018年版),5.4.12-9,燃油或燃气锅炉、油浸变压器、充有可燃油的高压电容器和多油开关等，宜设置在建筑外的专用房间内；确需贴邻民用建筑布置时，应采用防火墙与所贴邻的建筑分隔，且不应贴邻人员密集场所，该专用房间的耐火等级不应低于二级；确需布置在民用建筑内时，不应布置在人员密集场所的上一层、下一层或贴邻，并应符合下列规定：锅炉的容量应符合现行国家标准《锅炉房设计规范》GB?50041的规定。油浸变压器的总容量不应大于1260kV·A，单台容量不应大于630kV·A。
GB50016-2014(2018年版),5.4.12-10,燃油或燃气锅炉、油浸变压器、充有可燃油的高压电容器和多油开关等，宜设置在建筑外的专用房间内；确需贴邻民用建筑布置时，应采用防火墙与所贴邻的建筑分隔，且不应贴邻人员密集场所，该专用房间的耐火等级不应低于二级；确需布置在民用建筑内时，不应布置在人员密集场所的上一层、下一层或贴邻，并应符合下列规定：燃气锅炉房应设置爆炸泄压设施。燃油或燃气锅炉房应设置独立的通风系统，并应符合本规范第9章的规定。
GB50016-2014(2018年版),5.4.13-1,布置在民用建筑内的柴油发电机房应符合下列规定：宜布置在首层或地下一、二层。
GB50016-2014(2018年版),5.4.13-2,布置在民用建筑内的柴油发电机房应符合下列规定：不应布置在人员密集场所的上一层、下一层或贴邻。
GB50016-2014(2018年版),5.4.13-3,布置在民用建筑内的柴油发电机房应符合下列规定：应采用耐火极限不低于2.00h的防火隔墙和1.50h的不燃性楼板与其他部位分隔，门应采用甲级防火门。
GB50016-2014(2018年版),5.4.13-4,布置在民用建筑内的柴油发电机房应符合下列规定：机房内设置储油间时，其总储存量不应大于1m3，储油间应采用耐火极限不低于3.00h的防火隔墙与发电机间分隔；确需在防火隔墙上开门时，应设置甲级防火门。
GB50016-2014(2018年版),5.4.13-5,布置在民用建筑内的柴油发电机房应符合下列规定：应设置火灾报警装置。
GB50016-2014(2018年版),5.4.13-6,布置在民用建筑内的柴油发电机房应符合下列规定：应设置与柴油发电机容量和建筑规模相适应的灭火设施，当建筑内其他部位设置自动喷水灭火系统时，机房内应设置自动喷水灭火系统。
